time_s,fly_1_x_mm,fly_1_y_mm,fly_1_z_mm,fly_2_x_mm,fly_2_y_mm,fly_2_z_mm
1.000000000000000048e-04,5.529591821406621976e-01,-3.000011208370583216e+00,1.158868461640308878e+00,5.529689266127397751e-01,2.999983503163880627e+00,1.158854046831565121e+00
1.010000000000000134e-02,5.930423287156115775e-01,-3.003979334408739099e+00,1.180724237319320080e+00,6.058486469543260533e-01,2.946550461335519788e+00,1.041434240824258284e+00
2.009999999999999981e-02,6.604701487547418592e-01,-3.028940149872739074e+00,1.188440851245218477e+00,6.112033181164266971e-01,2.914903871411536063e+00,1.035660055906975519e+00
3.010000000000000175e-02,7.156670371415285725e-01,-3.030691273534028340e+00,1.179242024558888602e+00,6.554076454685890951e-01,2.973952462600579771e+00,9.902168069034533726e-01
4.010000000000000370e-02,6.970146894108142366e-01,-2.943319020987157142e+00,1.069992708915824098e+00,7.251161449447827145e-01,2.934791556860537831e+00,9.981594821227175451e-01
5.010000000000000564e-02,6.561705598471525569e-01,-2.746772922664171723e+00,9.001033186410339892e-01,8.246416094710559141e-01,2.932249832425359859e+00,9.983618519343709918e-01
6.010000000000000064e-02,7.671238221618571496e-01,-2.690918872461431022e+00,7.979374442888789165e-01,9.745040587186926118e-01,2.952062738407297271e+00,9.597409306911133253e-01
7.010000000000000953e-02,8.715467616436386455e-01,-2.583034933883471496e+00,8.892408968685798776e-01,1.142060461620238332e+00,2.946366874726440432e+00,6.976113714326632742e-01
8.010000000000000453e-02,1.005175104363201566e+00,-2.554344156279133138e+00,9.749539093176405880e-01,1.079470762133470263e+00,2.943408672160651829e+00,8.306174900937042249e-01
9.009999999999999953e-02,1.094815046332001662e+00,-2.574569813529851814e+00,9.555297277625137697e-01,1.140873142666265716e+00,2.950474658573345010e+00,8.969818944516301240e-01
1.001000000000000084e-01,1.150691507227683985e+00,-2.621274316047721875e+00,9.265289850180475906e-01,1.308325039007662838e+00,2.977884702081280643e+00,1.005353628805563559e+00
1.101000000000000034e-01,1.288164432279764293e+00,-2.659740618083081376e+00,9.315015807167076334e-01,1.487740694030915023e+00,2.993821307909651175e+00,1.065032476492745683e+00
1.201000000000000123e-01,1.446423640432037860e+00,-2.642427847639344574e+00,8.392515451867680332e-01,1.605386978701246692e+00,2.941355745488207329e+00,1.126773068040259673e+00
1.300999999999999934e-01,1.402097463869663718e+00,-2.483000433481109770e+00,9.801158163525557354e-01,1.734481748241882393e+00,2.907877527129987705e+00,1.050227827679792503e+00
1.401000000000000023e-01,1.484828369176980356e+00,-2.394696294606518006e+00,9.514284583400925976e-01,2.017447725688334526e+00,2.909939871953099111e+00,8.605052643655776157e-01
1.501000000000000112e-01,1.655222202043799884e+00,-2.228003327025057878e+00,8.835965125797308195e-01,2.194472084576816417e+00,3.001240622395024538e+00,6.948936924802033843e-01
1.601000000000000201e-01,1.815472259912223496e+00,-2.219546851421815070e+00,9.745176772821302347e-01,2.228269896774874415e+00,2.961071486580217460e+00,7.628969269669498843e-01
1.701000000000000012e-01,1.885548507573045374e+00,-2.282747095131139492e+00,1.034941117819140999e+00,2.199004667193578122e+00,2.950022901882964455e+00,7.969487946061237782e-01
1.801000000000000101e-01,1.985901670455284984e+00,-2.391295232051922071e+00,9.987329684726933277e-01,2.313530653172637841e+00,2.899407299112496172e+00,8.574215215288422121e-01
1.901000000000000190e-01,2.210640198991640659e+00,-2.439274980200233589e+00,1.040793031745968822e+00,2.476132775875890424e+00,2.876956076963000708e+00,9.782272202857866805e-01
2.001000000000000001e-01,2.398696012534486055e+00,-2.457445237610222932e+00,1.014827951619273305e+00,2.635141397367879446e+00,2.809279040515986203e+00,1.008629527689291372e+00
2.101000000000000090e-01,2.433089486937631385e+00,-2.324561648822144555e+00,1.108118320386448197e+00,2.822321884562478900e+00,2.733780910797447561e+00,8.866049224880375723e-01
2.201000000000000179e-01,2.499348325950447869e+00,-2.193329359831630576e+00,1.068544273750315243e+00,2.975374111545135758e+00,2.733418780962305839e+00,1.030752719186513788e+00
2.300999999999999990e-01,2.643121074693703498e+00,-2.080174033691415403e+00,1.067673511483430815e+00,3.033704046878971550e+00,2.881335748541350661e+00,1.034552249063958484e+00
2.401000000000000079e-01,2.795031820582443149e+00,-1.924110511925484435e+00,1.059890130553946541e+00,3.200217494982556143e+00,2.936404963875332896e+00,9.579427959647129898e-01
2.500999999999999890e-01,2.928951393462343677e+00,-2.021055326994819712e+00,1.141902807049349988e+00,3.381182262689290230e+00,3.084359910704594476e+00,1.017779322685277155e+00
2.600999999999999979e-01,3.047771060758376560e+00,-2.116224829129339291e+00,1.120012603623035785e+00,3.499197936212573357e+00,2.938453321938658824e+00,1.063860276794235782e+00
2.701000000000000068e-01,3.202371197612131848e+00,-2.159224722151680265e+00,1.085572999112412562e+00,3.547779549981768810e+00,2.826839641362102640e+00,1.076541558943133303e+00
2.801000000000000156e-01,3.443088197455645094e+00,-2.282623515802522540e+00,1.071712390268014126e+00,3.666179008638228876e+00,2.753196405563972604e+00,1.059617585598625400e+00
